Time,P634A,P634B,P634C,Q634A,Q634B,Q634C,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,Ptotal
0,1.215438655,1.488455813,2.215760848,0.717932192,6.39602324,2.505080934,0.894544187,0.864344282,2.764658971,0.489365208,1.079075529,1.790931276,2.993093074,2.993093074,0.1,0.559778519,0.223911408,0.394027213,0.223911408,0.263689881,0.223911408,0.263689881,0.223911408,0.559778519,0.223911408,0.394027213,0.223911408,0.263689881,0.223911408,0.263689881,0.223911408,0.559778519,0.223911408,0.394027213,0.223911408,0.263689881,0.223911408,0.263689881,0.223911408,0.559778519,0.223911408,0.394027213,0.223911408,0.263689881,0.223911408,0.263689881,0.223911408,0.198200808,0.198200808,0.198200808,0.197866575,28.14763842
1,1.207364489,1.49576592,2.215773366,0.713850517,6.360344515,2.505024351,0.888040505,0.871950521,2.764676822,0.488718772,1.081233954,1.790934874,2.993454623,2.993454623,0.1,0.559779644,0.223911858,0.394025789,0.223911858,0.263690411,0.223911858,0.263690411,0.223911858,0.559779644,0.223911858,0.394025789,0.223911858,0.263690411,0.223911858,0.263690411,0.223911858,0.559779644,0.223911858,0.394025789,0.223911858,0.263690411,0.223911858,0.263690411,0.223911858,0.559779644,0.223911858,0.394025789,0.223911858,0.263690411,0.223911858,0.263690411,0.223911858,0.198200829,0.198200829,0.198200829,0.197866596,28.1295946
2,1.073219732,1.585171686,2.216026536,0.657637483,5.875847943,2.503880062,0.786133213,0.961967058,2.76503784,0.484371078,1.144200361,1.791007625,3.000766374,3.000766374,0.1,0.559802383,0.223920953,0.39399698,0.223920953,0.263701123,0.223920953,0.263701123,0.223920953,0.559802383,0.223920953,0.39399698,0.223920953,0.263701123,0.223920953,0.263701123,0.223920953,0.559802383,0.223920953,0.39399698,0.223920953,0.263701123,0.223920953,0.263701123,0.223920953,0.559802383,0.223920953,0.39399698,0.223920953,0.263701123,0.223920953,0.263701123,0.223920953,0.19820126,0.19820126,0.19820126,0.19786702,27.84770964
3,0.885797187,1.670848196,2.216497587,0.571571061,5.482386002,2.50175098,0.646821562,1.04437124,2.765709555,0.489621053,1.257280582,1.791142989,3.014370736,3.014370736,0.1,0.559844693,0.223937877,0.393943379,0.223937877,0.263721053,0.223937877,0.263721053,0.223937877,0.559844693,0.223937877,0.393943379,0.223937877,0.263721053,0.223937877,0.263721053,0.223937877,0.559844693,0.223937877,0.393943379,0.223937877,0.263721053,0.223937877,0.263721053,0.223937877,0.559844693,0.223937877,0.393943379,0.223937877,0.263721053,0.223937877,0.263721053,0.223937877,0.198202063,0.198202063,0.198202063,0.19786781,27.46707843
4,0.724331678,1.735557281,2.217118331,0.473732497,5.382241299,2.498945304,0.534379065,1.117297709,2.766594732,0.507332756,1.343525543,1.791321369,3.032298377,3.032298377,0.1,0.559900448,0.223960179,0.393872744,0.223960179,0.263747317,0.223960179,0.263747317,0.223960179,0.559900448,0.223960179,0.393872744,0.223960179,0.263747317,0.223960179,0.263747317,0.223960179,0.559900448,0.223960179,0.393872744,0.223960179,0.263747317,0.223960179,0.263747317,0.223960179,0.559900448,0.223960179,0.393872744,0.223960179,0.263747317,0.223960179,0.263747317,0.223960179,0.198203121,0.198203121,0.198203121,0.19786885,27.14833913
5,0.639966893,1.805103726,2.217820231,0.440720077,5.25732195,2.49577282,0.491716582,1.148990243,2.767595636,0.522106944,1.372554258,1.79152307,3.05256984,3.05256984,0.1,0.559963492,0.223985397,0.393792875,0.223985397,0.263777015,0.223985397,0.263777015,0.223985397,0.559963492,0.223985397,0.393792875,0.223985397,0.263777015,0.223985397,0.263777015,0.223985397,0.559963492,0.223985397,0.393792875,0.223985397,0.263777015,0.223985397,0.263777015,0.223985397,0.559963492,0.223985397,0.393792875,0.223985397,0.263777015,0.223985397,0.263777015,0.223985397,0.198204317,0.198204317,0.198204317,0.197870027,27.04291023
6,0.670642709,1.926252904,2.218553095,0.490435339,4.842959341,2.49246038,0.506334036,1.124621118,2.768640695,0.51105432,1.35389702,1.791733669,3.07373559,3.07373559,0.1,0.560029318,0.224011727,0.393709482,0.224011727,0.263808023,0.224011727,0.263808023,0.224011727,0.560029318,0.224011727,0.393709482,0.224011727,0.263808023,0.224011727,0.263808023,0.224011727,0.560029318,0.224011727,0.393709482,0.224011727,0.263808023,0.224011727,0.263808023,0.224011727,0.560029318,0.224011727,0.393709482,0.224011727,0.263808023,0.224011727,0.263808023,0.224011727,0.198205565,0.198205565,0.198205565,0.197871255,27.16843538
7,0.790471093,2.046391833,2.21928785,0.530312235,4.342390631,2.489139392,0.525479957,1.108790914,2.76968845,0.483428248,1.279318849,1.791944812,3.094955959,3.094955959,0.1,0.560095313,0.224038125,0.393625874,0.224038125,0.26383911,0.224038125,0.26383911,0.224038125,0.560095313,0.224038125,0.393625874,0.224038125,0.26383911,0.224038125,0.26383911,0.224038125,0.560095313,0.224038125,0.393625874,0.224038125,0.26383911,0.224038125,0.26383911,0.224038125,0.560095313,0.224038125,0.393625874,0.224038125,0.26383911,0.224038125,0.26383911,0.224038125,0.198206817,0.198206817,0.198206817,0.197872486,27.36133558
8,0.903520581,2.061726043,2.220011985,0.503006613,4.343127422,2.485866409,0.514805934,1.091727452,2.770721061,0.471278674,1.13278491,1.792152902,3.115869594,3.115869594,0.1,0.560160354,0.224064142,0.393543474,0.224064142,0.263869749,0.224064142,0.263869749,0.224064142,0.560160354,0.224064142,0.393543474,0.224064142,0.263869749,0.224064142,0.263869749,0.224064142,0.560160354,0.224064142,0.393543474,0.224064142,0.263869749,0.224064142,0.263869749,0.224064142,0.560160354,0.224064142,0.393543474,0.224064142,0.263869749,0.224064142,0.263869749,0.224064142,0.198208051,0.198208051,0.198208051,0.1978737,27.46533663
9,0.948822941,2.010848715,2.220723199,0.463577224,4.80861865,2.482651821,0.491348233,1.119877292,2.771735248,0.472006117,0.966267162,1.79235728,3.13641009,3.13641009,0.1,0.560224235,0.224089694,0.393462544,0.224089694,0.263899841,0.224089694,0.263899841,0.224089694,0.560224235,0.224089694,0.393462544,0.224089694,0.263899841,0.224089694,0.263899841,0.224089694,0.560224235,0.224089694,0.393462544,0.224089694,0.263899841,0.224089694,0.263899841,0.224089694,0.560224235,0.224089694,0.393462544,0.224089694,0.263899841,0.224089694,0.263899841,0.224089694,0.198209262,0.198209262,0.198209262,0.197874891,27.48883719
