Profile0.csv,GTNETSKT1_from.txt,GTNETSKT1_to.txt
Time,,
P634A,P634A,
P634B,P634B,
P634C,P634C,
Q634A,Q634A,
Q634B,Q634B,
Q634C,Q634C,
L7,Load7,
L8,Load8,
L9,Load9,
L10,Load10,
L11,Load11,
L12,Load12,
L13,Load13,
L14,Load14,
L15,Load15,
L16,Load16,
L17,Load17,
L18,Load18,
L19,Load19,
L20,Load20,
L21,Load21,
L22,Load22,
L23,Load23,
L24,Load24,
L25,Load25,
L26,Load26,
L27,Load27,
L28,Load28,
L29,Load29,
L30,Load30,
L31,Load31,
L32,Load32,
L33,Load33,
L34,Load34,
L35,Load35,
L36,Load36,
L37,Load37,
L38,Load38,
L39,Load39,
L40,Load40,
L41,Load41,
L42,Load42,
L43,Load43,
L44,Load44,
L45,Load45,
L46,Load46,
L47,Load47,
L48,Load48,
L49,Load49,
L50,Load50,
L51,Load51,
