Profile.csv,GTNETSKT1_from.txt,GTNETSKT1_to.txt
Time,,
load_634_a_p,load_634_a_p,
load_634_a_q,load_634_a_q,
load_634_b_p,load_634_b_p,
load_634_b_q,load_634_b_q,
load_634_c_p,load_634_c_p,
load_634_c_q,load_634_c_q,
load_645_b_p,load_645_b_p,
load_645_b_q,load_645_b_q,
load_646_b_p,load_646_b_p,
load_646_b_q,load_646_b_q,
load_652_a_p,load_652_a_p,
load_652_a_q,load_652_a_q,
load_671_a_p,load_671_a_p,
load_671_a_q,load_671_a_q,
load_671_b_p,load_671_b_p,
load_671_b_q,load_671_b_q,
load_671_c_p,load_671_c_p,
load_671_c_q,load_671_c_q,
load_675_a_p,load_675_a_p,
load_675_a_q,load_675_a_q,
load_675_b_p,load_675_b_p,
load_675_b_q,load_675_b_q,
load_675_c_p,load_675_c_p,
load_675_c_q,load_675_c_q,
load_692_c_p,load_692_c_p,
load_692_c_q,load_692_c_q,
load_611_c_p,load_611_c_p,
load_611_c_q,load_611_c_q,
load_dis_a_a_p,load_dis_a_a_p,
load_dis_a_a_q,load_dis_a_a_q,
load_dis_a_b_p,load_dis_a_b_p,
load_dis_a_b_q,load_dis_a_b_q,
load_dis_a_c_p,load_dis_a_c_p,
load_dis_a_c_q,load_dis_a_c_q,
load_dis_b_a_p,load_dis_b_a_p,
load_dis_b_a_q,load_dis_b_a_q,
load_dis_b_b_p,load_dis_b_b_p,
load_dis_b_b_q,load_dis_b_b_q,
load_dis_b_c_p,load_dis_b_c_p,
load_dis_b_c_q,load_dis_b_c_q,
